"","Acadia","American_Samoa","Arches","Badlands","Big_Bend","Biscayne","Black_Canyon_of_the_Gunnison","Bryce_Canyon","Canyonlands","Capitol_Reef","Carlsbad_Caverns","Channel_Islands","Congaree","Crater_Lake","Cuyahoga_Valley","Death_Valley","Denali","Dry_Tortugas","Everglades","Gates_of_the_Arctic","Glacier","Glacier_Bay","Grand_Canyon","Grand_Teton","Great_Basin","Great_Sand_Dunes","Great_Smoky_Mountains","Guadalupe_Mountains","Haleakalā","Hawaii_Volcanoes","Hot_Springs","Isle_Royale","Joshua_Tree","Katmai","Kenai_Fjords","Kings_Canyon","Kobuk_Valley","Lake_Clark","Lassen_Volcanic","Mammoth_Cave","Mesa_Verde","Mount_Rainier","North_Cascades","Olympic","Petrified_Forest","Pinnacles","Redwood","Rocky_Mountain","Saguaro","Sequoia","Shenandoah","Theodore_Roosevelt","Virgin_Islands","Voyageurs","Wind_Cave","Wrangell_–St._Elias","Yellowstone","Yosemite","Zion"
"Acadia",0,12107929.1591153,3466937.11446761,2724161.43466163,3509612.12403485,2340449.91100301,3324923.29941422,3726265.28335994,3517574.46278497,3616051.58644257,3409960.30347591,4489365.99515015,1597811.13050914,4264118.21341617,1141811.61450876,4161552.83049927,5355373.40871468,2565465.07392694,2409560.51359378,5333521.46738636,3484975.84695057,4788140.36386659,3798967.27191261,3369916.18386599,3827861.19462724,3188034.51058249,1619604.11663717,3459160.2303616,8267531.51027735,8292330.2288035,2387154.62863961,1615812.68686334,4221811.09078893,5778170.19025621,5436163.36418468,4269616.3713636,5581157.88675329,5587549.63443499,4323588.96095985,1701376.3232885,3451831.30151614,4097736.51560892,4004871.29707548,4190093.61811347,3663680.75451168,4492403.95253754,4478904.88426048,3077371.98174847,3882371.26230184,4299045.16075361,1064380.98056106,2733916.50128613,2914678.68988773,1939306.5347277,2805585.68078214,4999758.95664927,3320963.92272774,4292565.41051477,3808554.05821498
"American_Samoa",12107929.1591153,0,8658134.38177615,9443833.74621794,8706495.31198732,10758376.4548123,8792793.21939859,8398511.51923379,8604329.79607684,8510712.60426109,8737752.29984812,7635013.98686942,10885378.6856704,8063832.07668114,10986851.8203091,7971371.31442467,8810079.30189199,10458672.6360745,10666934.0889923,9239188.30810937,8958389.19578133,8659268.07413006,8314517.30899996,8855973.19415109,8325783.01193143,8920948.9741514,10686010.6200884,8689184.25454731,4203898.61989833,4110038.3436378,9816937.6887321,10622932.1456462,7889612.22000436,8223980.84935426,8470105.65187299,7880718.80574623,9152965.12104744,8512774.04051214,7926999.30421333,10502773.0893709,8659386.09638634,8368189.28015694,8533997.50246111,8352868.5688057,8444248.47410631,7672795.4859185,7825721.88373232,9050457.92387529,8233446.79580379,7847167.08619266,11200094.4062855,9533288.81153536,12165377.8098999,10329099.0327195,9364037.03140826,8754297.04937594,8926963.9894826,7881044.19612214,8317277.77553932
"Arches",3466937.11446761,8658134.38177615,0,817370.397095135,1200211.36512041,3115154.97978928,161353.594743722,259808.021760315,61970.8306171128,149387.390345825,860865.950857738,1023947.04587786,2630679.88477763,1155799.47208007,2397247.41229569,695565.94774136,3850887.96605342,2957338.2635577,3066961.21857887,4189875.88770294,1181014.5302596,2950380.43750729,369771.724443419,571504.116411414,411490.95447304,370521.703970806,2325592.66220299,864901.500989254,4866233.57365386,4870331.68098618,1545158.91027232,1987880.21884063,786599.770009845,3896513.65542273,3655824.44652132,817362.681073568,4409568.52609856,3890716.34148623,1043113.36230167,2061883.25884787,192023.573682468,1345462.71558692,1452833.88688731,1526055.24995347,402297.845178668,1050599.71663837,1263158.49626004,392354.569184265,720720.564950958,841637.743875132,2702650.82417466,1048633.09801876,4873568.35342066,1727202.96466912,745975.564853436,3339214.81239904,663523.927974462,872736.17403945,341745.956894275
"Badlands",2724161.43466163,9443833.74621794,817370.397095135,0,1615507.52510071,2857702.36880606,723474.398931987,1067109.59500962,877738.562448958,954402.167792257,1300168.53363009,1817694.57476659,2177793.23697541,1585576.22549094,1737305.31355174,1476639.43082646,3717520.01859964,2777489.8271753,2832754.72057942,3966124.92556553,1046637.40658879,2866962.50045149,1186027.26811345,667265.387815466,1118253.84391156,716482.914822671,1849983.79801887,1333127.99476517,5548097.40598696,5569142.63572909,1311101.70429651,1181519.5398303,1602955.51724666,3893656.08388199,3603375.20595165,1563472.55796888,4207058.47424505,3823699.17705846,1607180.3989605,1565817.54626233,889529.629117765,1542065.82236115,1537064.55591835,1688417.97280727,1150308.39390526,1777236.29056143,1779658.35936582,451406.39917531,1458193.19989305,1596677.89970715,2097844.68882107,366061.687974347,4517208.98446288,910207.140806028,81426.665246096,3222720.75821185,645418.874613342,1573144.72282059,1144035.91889603
"Big_Bend",3509612.12403485,8706495.31198732,1200211.36512041,1615507.52510071,0,2319719.32748495,1116255.63208864,1242247.24591291,1171830.68003108,1235923.77341623,344419.95886826,1619435.75795292,2186395.70239975,2269964.27932548,2371138.31198855,1487636.71453185,5051086.11922043,2083773.57177596,2247442.93262782,5385523.85928302,2361027.62486228,4150182.64157821,1125473.59519997,1745890.22252272,1484378.25882517,966928.235830816,1981158.24133054,335312.058749112,5379521.84998307,5340751.02942066,1127122.90736887,2447132.24752772,1301239.99628199,5083431.25094197,4851518.49028481,1653864.47402827,5607713.19019109,5087236.10708459,2077779.5379349,1820796.20102528,1008220.24353481,2529978.26899114,2650292.02873314,2711422.13030037,893092.402172236,1853919.35117472,2304231.99481008,1259201.95984217,769552.926355573,1646718.33617996,2511570.6559938,1972657.38585253,4086627.62287079,2318675.71949191,1594226.4454821,4539399.02826068,1824601.12104543,1780739.30037459,1277165.8285008
"Biscayne",2340449.91100301,10758376.4548123,3115154.97978928,2857702.36880606,2319719.32748495,0,2959714.47605876,3298794.40773914,3128138.3069506,3231836.69124863,2475877.24124437,3886240.1621692,907545.939379149,4259657.94233457,1740757.37738865,3675052.82984628,6512816.47832374,303212.389453235,92979.0488436584,6685477.37456608,3904226.23346225,5703142.29346867,3257319.3739662,3425445.22001124,3517467.36729696,2745474.63642853,1164129.23922391,2510826.80980489,7698293.59634603,7656116.94580253,1589264.40545778,2606604.57860538,3560102.14711577,6740674.007439,6438694.96210669,3836976.39135173,6937152.26550044,6650398.9155665,4156251.52288064,1404301.36404845,2972945.51704845,4349650.73559926,4379220.74354,4513319.91033542,3025440.37116389,4064509.30173555,4378158.46877943,2874200.9395151,3041757.49383158,3843176.83835813,1442963.4351491,3141953.0018209,1779672.43891319,2777352.64269386,2909173.34843254,6038588.02991784,3447500.80973349,3936410.02595396,3366381.19393434
"Black_Canyon_of_the_Gunnison",3324923.29941422,8792793.21939859,161353.594743722,723474.398931987,1116255.63208864,2959714.47605876,0,406355.218932835,197185.298818896,303827.402171729,772000.525461942,1164860.32543983,2469340.65132724,1304394.96439901,2245807.27022043,845020.136039231,3945304.01165318,2806489.18728148,2912771.05682506,4270377.16993736,1244898.02160918,3048730.82536886,480736.539973405,629637.366923803,572746.105133945,214870.363405606,2164588.78665912,784186.485860355,5022759.2717599,5025147.47875237,1385830.91106963,1871801.73253059,906767.32899392,4010524.91968737,3761955.77976106,973592.831095275,4494352.44354942,3995481.41712002,1201833.8646298,1901646.08013599,168878.273392021,1468128.11685686,1561111.54010346,1647002.73843699,430665.137945236,1207986.96970288,1420162.73610437,274396.535237839,747273.798627097,996140.657551419,2545892.7621185,997663.7202565,4715199.32591205,1624511.30789311,660404.832154791,3434314.74763182,709925.54485353,1033101.57167928,488768.872120859
"Bryce_Canyon",3726265.28335994,8398511.51923379,259808.021760315,1067109.59500962,1242247.24591291,3298794.40773914,406355.218932835,0,209745.737242984,113103.214813437,927317.253806272,764139.541306159,2857153.49903226,1032096.57411396,2652056.95257535,438700.513231357,3842205.3531479,3124783.8936482,3245840.91764989,4206864.85649329,1258714.35331862,2938083.17456715,168130.220634052,695532.287635569,242805.881930492,588025.603284853,2558319.81129256,917385.954347669,4618455.05418914,4619505.43708717,1752074.74311738,2243409.71373851,538602.221611679,3845915.27604028,3623572.80449027,571284.790806311,4417774.14230609,3860481.82954955,869259.285275383,2300091.935628,329281.716614686,1297858.96221935,1437123.27036516,1478632.12011113,351804.316731965,806938.310217137,1096624.99224549,651965.249576848,611720.812232993,591509.506667585,2950716.0008098,1267916.68821105,5068276.78784787,1977006.36450813,992621.642513264,3331393.34641123,795118.106780697,645219.169316513,82566.0053726855
"Canyonlands",3517574.46278497,8604329.79607684,61970.8306171128,877738.562448958,1171830.68003108,3128138.3069506,197185.298818896,209745.737242984,0,108475.864960895,836321.418295077,971924.083306464,2659841.10992268,1154913.73026086,2442416.90778219,648367.771534038,3880567.22726263,2964950.52348271,3078331.62853421,4224894.43118374,1224423.10261152,2978812.82163019,308557.649539273,619914.456882222,389980.93958793,391384.941952517,2357544.6604574,837098.936355917,4825756.16378411,4827962.77255126,1565557.25076601,2045917.48938403,727771.305580115,3917068.55269019,3680370.53434216,776757.463372862,4442914.46044659,3915810.38432004,1028121.33568699,2096482.87423167,170241.478570997,1363719.08835385,1478478.28038558,1544883.4235603,348687.383901805,1011504.42891727,1251053.02557261,447567.494961155,664371.502559399,798987.456285758,2742943.73371561,1110450.15922327,4890813.69278016,1787184.98608551,806958.403701804,3368826.76194277,714027.337335074,839953.491781235,292305.049921999
"Capitol_Reef",3616051.58644257,8510712.60426109,149387.390345825,954402.167792257,1235923.77341623,3231836.69124863,303827.402171729,113103.214813437,108475.864960895,0,908015.881053827,875871.353478478,2768289.68580193,1063003.11561737,2546162.44111278,546180.84788486,3825526.93309392,3065548.90583373,3181172.61940407,4179410.33236077,1201678.46333044,2922244.0558367,253297.11932989,616379.964477789,285831.372110755,499405.280000426,2465973.7732873,904068.207477288,4719172.97429473,4722309.83531478,1672590.29536403,2130309.20336726,649782.205410241,3847654.61101839,3617032.95022092,669937.252306467,4394164.86237172,3853209.41707826,925294.420571109,2204613.71292683,261953.624516209,1294055.1692282,1419738.34152727,1475498.67296571,369878.914067815,904162.565573368,1149740.13890043,540093.220308167,665141.029410735,693233.946974989,2849468.21834234,1162079.16890016,4996342.90162497,1864450.71033181,880306.705637615,3313976.04593063,714630.417450159,731478.67501204,193435.676335388
"Carlsbad_Caverns",3409960.30347591,8737752.29984812,860865.950857738,1300168.53363009,344419.95886826,2475877.24124437,772000.525461942,927317.253806272,836321.418295077,908015.881053827,0,1410730.85359659,2211936.01010239,1959403.06879133,2269242.20646512,1225325.52405026,4710740.18256683,2267518.16081322,2411936.52626994,5041904.04625845,2016651.17745368,3810985.40302941,830920.069463663,1401627.2589982,1169889.89470427,626574.307613373,1966570.21765088,49200.9740753688,5260344.61336144,5233818.04653647,1090139.50920848,2220705.62636209,1084638.66344414,4753091.13026213,4516118.98429368,1391751.05359409,5264818.96821712,4751261.14509635,1784485.83618343,1765743.51913588,669537.176852079,2199301.27610537,2313408.22801009,2380620.92713673,590827.91613371,1607769.51941724,2012482.55549169,921827.066986046,570769.606025161,1391052.3291592,2462810.71544445,1649679.96703902,4255206.01956094,2060272.20730454,1271817.05065307,4199186.99285245,1480193.61901428,1508481.93212823,972180.391803495
"Channel_Islands",4489365.99515015,7635013.98686942,1023947.04587786,1817694.57476659,1619435.75795292,3886240.1621692,1164860.32543983,764139.541306159,971924.083306464,875871.353478478,1410730.85359659,0,3548818.87979654,1020993.65876276,3405899.31065431,342990.202220432,3903575.13103309,3676245.97563556,3822667.37414106,4332292.54220219,1706343.57176387,3022459.17816302,701483.989622189,1313226.34204219,718078.82123277,1319807.66736956,3265974.53534345,1377466.1040238,3896469.57251965,3886809.08740229,2419903.71507735,2998840.5316491,326140.256060429,3783331.01456203,3622740.46443339,320451.169695158,4513039.26288282,3858209.74207007,744676.021339085,3021104.69883903,1049645.82352447,1442732.75752135,1641910.08347716,1590780.57498712,891439.500417771,317200.643821002,906006.007912492,1415917.52073193,853997.430189285,277668.597168358,3689474.76472884,1969630.80487423,5665776.7366653,2721951.79933076,1739979.61013458,3412167.24459057,1405185.81210628,425301.550058967,682469.491662373
"Congaree",1597811.13050914,10885378.6856704,2630679.88477763,2177793.23697541,2186395.70239975,907545.939379149,2469340.65132724,2857153.49903226,2659841.10992268,2768289.68580193,2211936.01010239,3548818.87979654,0,3707524.97331037,833211.439621203,3278541.57853604,5703179.47994723,1038538.82637527,941874.5109626,5841313.45590439,3205281.1028862,4932847.55582991,2861313.72732616,2811835.45727208,3041644.43344022,2269937.0317227,328656.213097314,2257219.469424,7443993.33052602,7428158.14629258,1132655.80314814,1720609.91847405,3233214.1337967,5976573.97400555,5661011.87474788,3426119.23830185,6094715.62633871,5862436.21303744,3657422.4048953,612856.719408304,2531052.04838599,3718000.9986873,3712283.88179,3866203.64165712,2657400.33733265,3661798.45174998,3864303.36982272,2313065.86070184,2769850.99552592,3442066.46596384,572036.646874656,2404121.66153911,2346094.35018123,1921913.14156289,2243184.4160897,5246818.47998557,2812048.23919599,3499558.23720528,2934862.67137437
"Crater_Lake",4264118.21341617,8063832.07668114,1155799.47208007,1585576.22549094,2269964.27932548,4259657.94233457,1304394.96439901,1032096.57411396,1154913.73026086,1063003.11561737,1959403.06879133,1020993.65876276,3707524.97331037,0,3322577.33534948,872162.048812848,2908785.32489919,4110878.18425499,4214935.53063322,3321453.70228578,904398.193485299,2015435.97632309,1146770.98934283,918439.417182486,789577.862805215,1519213.87575204,3387327.89447822,1948968.65481887,4016256.60758221,4055480.68002289,2675429.23349814,2656678.28330466,1152576.13912464,2847246.8012529,2651911.29034779,747585.052641719,3510221.75364402,2889460.78431054,277101.996263559,3108660.17246701,1322726.10707311,436132.084449295,644977.291786268,570481.40999333,1377060.09705676,723600.767128261,240697.421422323,1400062.9118759,1566260.63936799,781486.546044093,3680899.7031528,1531880.93988594,6002056.34850411,2337906.22573019,1508089.53601005,2408597.61256096,949745.79317834,609983.229277062,992807.852488599
"Cuyahoga_Valley",1141811.61450876,10986851.8203091,2397247.41229569,1737305.31355174,2371138.31198855,1740757.37738865,2245807.27022043,2652056.95257535,2442416.90778219,2546162.44111278,2269242.20646512,3405899.31065431,833211.439621203,3322577.33534948,0,3090756.07059613,4980434.01378563,1853059.74088108,1773131.41272032,5079301.17361366,2664990.8002342,4262329.08455462,2706389.91761039,2404536.94983842,2783067.01995815,2088307.90634415,642496.361011531,2318427.98496048,7255832.45022223,7265190.2178224,1256102.94646644,942673.513993947,3122024.77665875,5301506.74219281,4974073.79204514,3213302.95645456,5333459.90099489,5162385.14813244,3335093.91314927,598382.551139213,2357295.12990789,3239849.37718094,3191932.26715934,3364192.43867779,2552177.27415587,3443911.65197216,3515394.82650115,2020065.55597948,2753545.03335594,3238726.96451521,407028.999891575,1855652.49552736,3011612.76515033,1202743.15938514,1815745.35059503,4548085.82064544,2376611.41538203,3254165.05703971,2734539.69110394
"Death_Valley",4161552.83049927,7971371.31442467,695565.94774136,1476639.43082646,1487636.71453185,3675052.82984628,845020.136039231,438700.513231357,648367.771534038,546180.84788486,1225325.52405026,342990.202220432,3278541.57853604,872162.048812848,3090756.07059613,0,3779283.06154976,3483134.38708052,3616889.36144972,4183273.17540255,1416918.53128663,2882486.68792418,421110.500965082,978559.519308116,377346.28349516,1018625.16669088,2985361.43863419,1201033.82713141,4183315.86615282,4182316.09589457,2160700.16656206,2658128.52724845,285334.607667553,3712583.67071943,3523650.40434908,166848.486581238,4377332.43298305,3761116.77312137,625416.161002769,2731487.74578856,750457.49105253,1249816.40459389,1432273.61818657,1416190.54752124,649802.268317021,389948.5031964,839450.181744908,1084302.37905185,731487.368606598,168128.886727318,3387509.37056428,1628056.59358751,5452334.67376469,2379415.96521616,1398422.21798963,3276693.32617459,1072946.43996204,296700.431301148,356252.950121436
"Denali",5355373.40871468,8810079.30189199,3850887.96605342,3717520.01859964,5051086.11922043,6512816.47832374,3945304.01165318,3842205.3531479,3880567.22726263,3825526.93309392,4710740.18256683,3903575.13103309,5703179.47994723,2908785.32489919,4980434.01378563,3779283.06154976,0,6473200.03786064,6502468.83056833,511759.504625142,2726331.84716271,904159.152533083,3991083.69315907,3323750.93069549,3614360.09866797,4126611.23969084,5388618.90112935,4715783.44017675,4762642.64380299,4905562.38985325,5025890.7681901,4039260.97916316,4061240.94364314,589906.890030309,382244.826599541,3654960.79910192,619923.961238449,303373.095359072,3172547.43460346,5121684.83433864,4042866.45276129,2550990.64627341,2406197.55738909,2373997.16390685,4189975.78325811,3588021.85062452,2997857.40813284,3873319.42439973,4436959.63427211,3686976.37729344,5384851.98269954,3391646.47459401,7991916.46843285,3790437.73119048,3685857.17016835,511740.484570984,3259023.84602588,3514997.58433659,3830999.58176261
"Dry_Tortugas",2565465.07392694,10458672.6360745,2957338.2635577,2777489.8271753,2083773.57177596,303212.389453235,2806489.18728148,3124783.8936482,2964950.52348271,3065548.90583373,2267518.16081322,3676245.97563556,1038538.82637527,4110878.18425499,1853059.74088108,3483134.38708052,6473200.03786064,0,210291.942720965,6672152.847242,3818114.58672036,5641713.62482803,3070460.51135303,3308678.60470829,3351113.77295144,2591665.06192272,1231709.50330133,2299068.79544599,7451207.77411345,7403940.49704999,1475041.41243589,2659997.94135659,3350698.14962675,6671144.66699605,6378458.91322905,3647421.05835472,6921532.54480534,6595756.14646038,3990394.96576746,1430439.29075127,2804165.62556027,4230132.95327527,4274304.04153108,4398832.20900042,2834199.27434335,3870458.01064759,4215280.44552333,2746805.28606452,2825093.09102699,3650786.13734083,1605007.80944871,3084029.58056092,2003392.89182944,2798204.66255563,2821990.43087152,5988846.32212689,3339138.56790471,3753434.73986819,3188389.48537756
"Everglades",2409560.51359378,10666934.0889923,3066961.21857887,2832754.72057942,2247442.93262782,92979.0488436584,2912771.05682506,3245840.91764989,3078331.62853421,3181172.61940407,2411936.52626994,3822667.37414106,941874.5109626,4214935.53063322,1773131.41272032,3616889.36144972,6502468.83056833,210291.942720965,0,6683256.07822985,3878430.26466615,5685812.2160384,3200450.03121938,3389952.12105218,3466979.63588229,2698141.27580737,1179776.97107555,2445905.41946931,7623941.61867045,7580150.80399049,1551460.93015627,2622280.47813281,3496567.64170124,6721206.68812942,6421989.54708446,3779611.55318049,6934305.41842762,6635479.63150741,4106264.74053976,1408287.6695867,2921321.85736957,4313915.39983649,4347965.33780256,4479206.28333135,2967087.58604322,4005874.92654357,4329182.71052834,2834972.40402208,2975751.42649928,3784951.31432221,1490404.52326037,3124115.6587314,1844012.89676571,2783218.90270652,2882169.01778626,6024969.59751415,3414581.76467381,3881097.23169163,3312267.15191387
"Gates_of_the_Arctic",5333521.46738636,9239188.30810937,4189875.88770294,3966124.92556553,5385523.85928302,6685477.37456608,4270377.16993736,4206864.85649329,4224894.43118374,4179410.33236077,5041904.04625845,4332292.54220219,5841313.45590439,3321453.70228578,5079301.17361366,4183273.17540255,511759.504625142,6672152.847242,6683256.07822985,0,3029549.40777719,1310366.07434548,4362362.56936123,3641482.08228089,3988179.78520477,4438894.55928503,5537818.2416244,5051227.374147,5242559.42868757,5389535.98020568,5257185.40917031,4138573.03726029,4467857.69494894,1036478.9515031,892723.866324148,4068696.66035175,254168.001218576,758107.381142161,3592146.1379581,5282387.51736774,4381308.85741708,2937743.33776233,2773939.0676865,2767346.75867237,4548195.21232383,4020032.90530924,3431318.55167406,4170494.38859035,4811952.96510692,4102939.84658737,5476409.05340568,3621326.51668633,8074756.95816997,3919687.86413552,3943947.31555028,927174.718578687,3567899.31188816,3931331.3561507,4203431.29383621
"Glacier",3484975.84695057,8958389.19578133,1181014.5302596,1046637.40658879,2361027.62486228,3904226.23346225,1244898.02160918,1258714.35331862,1224423.10261152,1201678.46333044,2016651.17745368,1706343.57176387,3205281.1028862,904398.193485299,2664990.8002342,1416918.53128663,2726331.84716271,3818114.58672036,3878430.26466615,3029549.40777719,0,1847423.41324694,1426301.9257269,615633.632000043,1093419.85405728,1409401.19603691,2876648.03461544,2028875.88509993,4866008.60503223,4917662.79165622,2344873.77187108,1871958.23475225,1678301.49655867,2857876.05196469,2579061.44881916,1385901.84616889,3257544.98422873,2805476.65062539,1098563.97625683,2592804.55476457,1368195.17401415,618222.04814139,528386.173700634,707908.2410079,1567210.85074231,1489885.46962221,1145093.5998122,1147286.02886117,1865462.02148752,1428677.0064252,3055754.15274687,812765.480888502,5550776.48517828,1548620.59632735,996699.798887993,2219968.18016263,538371.023161369,1299005.48600344,1282476.23203909
"Glacier_Bay",4788140.36386659,8659268.07413006,2950380.43750729,2866962.50045149,4150182.64157821,5703142.29346867,3048730.82536886,2938083.17456715,2978812.82163019,2922244.0558367,3810985.40302941,3022459.17816302,4932847.55582991,2015435.97632309,4262329.08455462,2882486.68792418,904159.152533083,5641713.62482803,5685812.2160384,1310366.07434548,1847423.41324694,0,3087023.91322931,2432254.44934093,2710347.93717413,3234395.58350879,4610261.44975757,3814988.29883705,4480243.69493954,4598425.98731632,4177781.58133816,3338970.34583396,3165862.86864581,1043821.29124622,736745.400506706,2762997.42384625,1495005.80321393,958475.856569994,2283929.59375264,4334662.88704718,3142200.72544813,1647702.39503149,1502571.14464975,1471794.77039547,3286091.33400398,2709760.25239814,2120956.23972844,2989227.65387761,3533267.69374061,2796382.7928149,4669323.71789319,2561709.27945385,7259869.41898525,3059585.93495663,2828293.2931822,394859.771139193,2372203.84814094,2624496.76204666,2926963.64852125
"Grand_Canyon",3798967.27191261,8314517.30899996,369771.724443419,1186027.26811345,1125473.59519997,3257319.3739662,480736.539973405,168130.220634052,308557.649539273,253297.11932989,830920.069463663,701483.989622189,2861313.72732616,1146770.98934283,2706389.91761039,421110.500965082,3991083.69315907,3070460.51135303,3200450.03121938,4362362.56936123,1426301.9257269,3087023.91322931,0,861421.034251043,376837.631516739,618661.564834863,2571826.51256101,813634.208178316,4591475.02541868,4585449.42360773,1740431.94839868,2350035.193839,426116.319277908,3980373.95219163,3765115.3187963,579881.297997788,4570907.66429539,4002430.30318522,955081.738484038,2322607.42479986,349102.45870686,1441718.02901131,1589492.08856564,1621202.73148176,240438.683979308,810596.905780466,1182728.2978838,749590.582474809,450208.025661927,588481.988780181,2988147.61787607,1412059.3401775,5033354.91845343,2094930.83694257,1115516.0238962,3481089.16709655,960742.303917557,683583.51612572,160166.925462925
"Grand_Teton",3369916.18386599,8855973.19415109,571504.116411414,667265.387815466,1745890.22252272,3425445.22001124,629637.366923803,695532.287635569,619914.456882222,616379.964477789,1401627.2589982,1313226.34204219,2811835.45727208,918439.417182486,2404536.94983842,978559.519308116,3323750.93069549,3308678.60470829,3389952.12105218,3641482.08228089,615633.632000043,2432254.44934093,861421.034251043,0,604113.406071893,802872.281070551,2487465.0091342,1413319.97656054,4897656.82903388,4924891.90534289,1838681.58882076,1783459.59823002,1191161.62027517,3414740.95609969,3153725.48117184,1013193.35996791,3866727.64805776,3384921.86725043,954266.432334436,2205680.57492786,754851.008852422,924205.854815521,972216.645223188,1090224.18455099,967988.439872146,1193866.60090499,1115035.03496462,568571.828749488,1278216.18819745,1052928.86502036,2763095.77475088,678330.923226352,5132855.79880751,1476967.1133601,589684.251525479,2813932.04757138,99766.6100380625,983462.221935043,740595.538871871
"Great_Basin",3827861.19462724,8325783.01193143,411490.95447304,1118253.84391156,1484378.25882517,3517467.36729696,572746.105133945,242805.881930492,389980.93958793,285831.372110755,1169889.89470427,718078.82123277,3041644.43344022,789577.862805215,2783067.01995815,377346.28349516,3614360.09866797,3351113.77295144,3466979.63588229,3988179.78520477,1093419.85405728,2710347.93717413,376837.631516739,604113.406071893,0,779506.190715901,2735148.31524508,1160190.82650225,4473115.37726777,4482704.67754644,1954706.90569085,2297772.71769464,595244.217679456,3607253.44184175,3389049.91308442,445227.435907306,4195331.28766429,3626271.67261453,639483.229422401,2469262.8031726,546982.809499922,1064939.95495557,1214395.75889398,1244629.09810394,592134.812707365,664763.379908711,864372.545506011,763166.160800488,824117.723212016,478845.353794858,3100700.66972822,1251552.03702825,5280788.32254907,2012139.2355622,1038267.54741938,3104515.82398066,700415.73949383,471257.59266967,216679.686162698
"Great_Sand_Dunes",3188034.51058249,8920948.9741514,370521.703970806,716482.914822671,966928.235830816,2745474.63642853,214870.363405606,588025.603284853,391384.941952517,499405.280000426,626574.307613373,1319807.66736956,2269937.0317227,1519213.87575204,2088307.90634415,1018625.16669088,4126611.23969084,2591665.06192272,2698141.27580737,4438894.55928503,1409401.19603691,3234395.58350879,618661.564834863,802872.281070551,779506.190715901,0,1970303.88113604,649399.582061316,5201870.01243601,5199447.30442085,1175272.64588393,1794198.69689908,1035153.66264912,4207385.68128546,3953033.87191067,1158932.96402942,4666583.09263848,4185292.97441786,1413627.75304009,1713262.41733118,270349.614399846,1673489.73328178,1757470.16053478,1851006.334222,483700.15514266,1394723.9827109,1633385.03893368,297284.579831787,760791.496981771,1177547.76256787,2371290.07895965,1042355.34271623,4503072.42404969,1573996.66969104,672272.128071039,3616778.31197882,871205.886282694,1229787.03668346,667302.887131945
"Great_Smoky_Mountains",1619604.11663717,10686010.6200884,2325592.66220299,1849983.79801887,1981158.24133054,1164129.23922391,2164588.78665912,2558319.81129256,2357544.6604574,2465973.7732873,1966570.21765088,3265974.53534345,328656.213097314,3387327.89447822,642496.361011531,2985361.43863419,5388618.90112935,1231709.50330133,1179776.97107555,5537818.2416244,2876648.03461544,4610261.44975757,2571826.51256101,2487465.0091342,2735148.31524508,1970303.88113604,0,2013636.93611479,7162174.43188688,7151713.96179231,876460.377237214,1442996.80632981,2955389.07846294,5653709.4196003,5339977.27317063,3129106.56967428,5790651.41574654,5543292.50190029,3344338.80137532,284351.26754199,2235332.14714374,3390915.34648152,3383834.23383028,3538287.65960545,2376518.75933039,3364930.11660656,3548451.90204552,1997413.08972167,2511070.03548228,3146840.11189662,558549.014502008,2076196.57110817,2674517.47851617,1619893.34891539,1916034.31396845,4928036.21372729,2485868.4741985,3197287.10866574,2637374.12438373
"Guadalupe_Mountains",3459160.2303616,8689184.25454731,864901.500989254,1333127.99476517,335312.058749112,2510826.80980489,784186.485860355,917385.954347669,837098.936355917,904068.207477288,49200.9740753688,1377466.1040238,2257219.469424,1948968.65481887,2318427.98496048,1201033.82713141,4715783.44017675,2299068.79544599,2445905.41946931,5051227.374147,2028875.88509993,3814988.29883705,813634.208178316,1413319.97656054,1160190.82650225,649399.582061316,2013636.93611479,0,5219434.10366351,5191891.80389614,1137177.5732472,2265987.09629816,1051688.7721677,4751421.71561129,4517349.75854819,1367762.80761148,5272848.04185302,4752878.01671165,1768564.71363832,1814086.84557223,672918.131908764,2197527.51973331,2315532.67611276,2378951.38368931,574946.357158107,1580980.40407431,1996323.58581998,946133.37905676,532210.238728798,1365733.13980353,2511229.47471519,1679721.87281032,4289653.89808847,2102619.0767505,1302575.50209138,4204101.37628454,1493880.68442538,1486923.19238441,958669.613913817
"Haleakalā",8267531.51027735,4203898.61989833,4866233.57365386,5548097.40598696,5379521.84998307,7698293.59634603,5022759.2717599,4618455.05418914,4825756.16378411,4719172.97429473,5260344.61336144,3896469.57251965,7443993.33052602,4016256.60758221,7255832.45022223,4183315.86615282,4762642.64380299,7451207.77411345,7623941.61867045,5242559.42868757,4866008.60503223,4480243.69493954,4591475.02541868,4897656.82903388,4473115.37726777,5201870.01243601,7162174.43188688,5219434.10366351,0,180387.454839514,6312667.55245604,6670566.22971565,4210808.5470859,4206711.01954779,4394232.26425224,4049235.76566843,5217690.58753569,4485766.76567562,3944027.2648711,6913660.12105516,4932880.9760276,4252988.59217879,4396795.63522345,4210053.3813793,4787277.25419596,3815698.73725604,3793240.02643092,5236281.00866187,4690552.9849337,4027025.65249556,7568636.25994164,5545699.48916236,9450637.76983699,6353496.51761395,5466901.93787522,4618397.2828072,4948735.8652728,4001878.16295521,4537105.88251907
